Employee ID,Date Of Joining,Date Of Termination
VIS03003,16-05-2022,30-11-2023
VIS02923,01-04-2022,30-11-2023
VIS03004,16-05-2022,28-11-2023
VIS02941,06-04-2022,28-11-2023
VIS06398,21-06-2023,26-11-2023
VIS06477,12-09-2023,10-11-2023
VIS06495,17-10-2023,07-11-2023
VIS06267,16-02-2023,01-11-2023
VIS06260,01-02-2023,17-10-2023
VIS06092,18-07-2022,16-10-2023
VIS06162,20-10-2022,13-10-2023
VIS06397,15-06-2023,13-10-2023
VEP00813,18-02-2019,30-09-2023
VIS06237,25-01-2023,15-09-2023
VIS06431,05-07-2023,09-09-2023
VIS02950,11-04-2022,01-09-2023
VIS02883,19-02-2022,01-09-2023
VIS06093,18-07-2022,31-08-2023
VIS06266,01-02-2023,27-08-2023
VIS06261,01-02-2023,17-08-2023
VIS06362,22-05-2023,15-08-2023
VIS06268,14-02-2023,14-08-2023
VIS06432,04-07-2023,05-08-2023
VIS06091,18-07-2022,01-08-2023
VIS02371,15-04-2019,17-07-2023
VIS02733,23-08-2021,17-07-2023
VIS06337,12-04-2023,06-07-2023
VIS02896,09-03-2022,06-07-2023
VIS06194,05-12-2022,28-06-2023
VIS06070,04-07-2022,16-06-2023
VIS06095,18-07-2022,15-06-2023
VIS06163,20-10-2022,01-06-2023
VIS06336,12-04-2023,01-06-2023
VIS06176,10-11-2022,31-05-2023
VIS06279,20-02-2023,31-05-2023
VIS02332,04-03-2019,31-05-2023
VIS02830,15-11-2021,13-05-2023
VIS06166,08-10-2022,08-05-2023
VIS06334,19-04-2023,06-05-2023
VIS06333,18-04-2023,01-05-2023
VIS02931,04-04-2022,01-05-2023
VIS06296,13-03-2023,16-04-2023
VIS06264,01-02-2023,10-04-2023
VIS06216,02-01-2023,01-04-2023
VEP00250,15-01-2017,31-03-2023
VEP00012,01-05-2001,31-03-2023
VIS06225,02-01-2023,16-03-2023
VIS06081,12-07-2022,12-03-2023
VIS06174,02-11-2022,12-03-2023
VIS06258,02-02-2023,01-03-2023
VIS06238,24-01-2023,01-03-2023
VIS02230,19-11-2018,22-02-2023
VIS02934,04-04-2022,16-02-2023
VIS03053,13-06-2022,15-02-2023
VIS06134,17-08-2022,04-02-2023
VIS02952,12-04-2022,01-02-2023
VIS06090,18-07-2022,01-02-2023
VIS06097,18-07-2022,01-02-2023
VIS02957,15-04-2022,01-02-2023
VIS02793,09-10-2021,01-02-2023
VIS06222,10-01-2023,01-02-2023
VIS02738,01-09-2021,29-01-2023
VIS06206,19-12-2022,20-01-2023
VIS06178,14-11-2022,20-01-2023
VIS06177,14-11-2022,17-01-2023
VIS02470,21-07-2019,09-01-2023
VIS02943,06-04-2022,08-01-2023
VIS02827,10-11-2021,06-01-2023
VIS06064,23-06-2022,02-01-2023
VIS02918,22-03-2022,01-01-2023
VIS06179,21-11-2022,01-01-2023
VIS06066,01-07-2022,01-01-2023
VIS02951,12-04-2022,01-01-2023
VIS02920,23-03-2022,01-01-2023
VIS06195,07-12-2022,01-01-2023
VIS01948,11-11-2021,01-01-2023
VIS06205,19-12-2022,01-01-2023
VIS03027,02-06-2022,01-01-2023
VIS06133,17-08-2022,01-01-2023
VIS03028,02-06-2022,01-01-2023
VIS02247,10-12-2018,01-01-2023
VIS02936,04-04-2022,01-01-2023
VIS03054,15-06-2022,01-01-2023
VIS02879,16-02-2022,01-01-2023
VIS02688,26-01-2021,01-01-2023
VIS02259,02-01-2019,01-01-2023
